,names,links,ratings,real_price,discounts,final_price
10,"SAMSUNG Galaxy S24+ 5G (Cobalt Violet, 256 GB)",https://www.flipkart.com/samsung-galaxy-s24-5g-cobalt-violet-256-gb/p/itm46fc37ddc7255?pid=MOBGX2F3GDX7QYFT&lid=LSTMOBGX2F3GDX7QYFTDDMJ7Z&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBGX2F3GDX7QYFT.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.5,99999,32% off,67999
11,"SAMSUNG Galaxy S23 5G (Green, 256 GB)",https://www.flipkart.com/samsung-galaxy-s23-5g-green-256-gb/p/itm6840743bfd1ef?pid=MOBGMFFXB7RGPNET&lid=LSTMOBGMFFXB7RGPNETJZGNDL&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBGMFFXB7RGPNET.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.6,95999,50% off,47999
12,"SAMSUNG Galaxy S24+ 5G (Onyx Black, 256 GB)",https://www.flipkart.com/samsung-galaxy-s24-5g-onyx-black-256-gb/p/itm325da4a26d7bb?pid=MOBGX2F3HVJYNHUV&lid=LSTMOBGX2F3HVJYNHUVPMFBMF&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBGX2F3HVJYNHUV.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.5,15499,29% off,99999
13,"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)",https://www.flipkart.com/samsung-galaxy-a14-5g-dark-red-128-gb/p/itma8898a288d63b?pid=MOBGX2Q7KG25VGKQ&lid=LSTMOBGX2Q7KG25VGKQFLVM9G&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBGX2Q7KG25VGKQ.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.2,18499,45% off,10999
14,"SAMSUNG Galaxy A14 5G (Dark Red, 64 GB)",https://www.flipkart.com/samsung-galaxy-a14-5g-dark-red-64-gb/p/itm611d564f53b48?pid=MOBGHT8UURBKHWME&lid=LSTMOBGHT8UURBKHWMEX9ENBE&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBGHT8UURBKHWME.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.2,33999,8% off,9999
15,"SAMSUNG Galaxy A35 5G (Awesome Iceblue, 128 GB)",https://www.flipkart.com/samsung-galaxy-a35-5g-awesome-iceblue-128-gb/p/itm9684d2fe9201e?pid=MOBGYT2HEYWFCG8Q&lid=LSTMOBGYT2HEYWFCG8QSW6D6Y&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBGYT2HEYWFCG8Q.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.3,20999,42% off,30999
16,"SAMSUNG Galaxy A14 5G (Black, 128 GB)",https://www.flipkart.com/samsung-galaxy-a14-5g-black-128-gb/p/itm4e53e4bf801e1?pid=MOBGHT8UR4T25NGB&lid=LSTMOBGHT8UR4T25NGBLLYADS&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBGHT8UR4T25NGB.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.2,149999,48% off,11999
17,"SAMSUNG Galaxy S23 Ultra 5G (Phantom Black, 256 GB)",https://www.flipkart.com/samsung-galaxy-s23-ultra-5g-phantom-black-256-gb/p/itm15952643ba06d?pid=MOBGMFFX6E6SGYWC&lid=LSTMOBGMFFX6E6SGYWCXUFTQQ&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBGMFFX6E6SGYWC.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.6,33999,8% off,76963
18,"SAMSUNG Galaxy A35 5G (Awesome Navy, 128 GB)",https://www.flipkart.com/samsung-galaxy-a35-5g-awesome-navy-128-gb/p/itm12fccc5bfbaac?pid=MOBGYT2HGFKNMSZQ&lid=LSTMOBGYT2HGFKNMSZQZQCIPS&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBGYT2HGFKNMSZQ.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.3,16999,11% off,30999
19,"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)",https://www.flipkart.com/samsung-galaxy-f15-5g-groovy-violet-128-gb/p/itm3e7d6c7112d45?pid=MOBGYBAVW8HTJH4X&lid=LSTMOBGYBAVW8HTJH4X9VTKYN&marketplace=FLIPKART&q=samsung+mobiles&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=bac26d96-9c83-420f-8f2b-bbfc8f39fd5d.MOBGYBAVW8HTJH4X.SEARCH&ppt=None&ppn=None&ssid=7voqxevcls0000001735731581402&qH=0258c7d48242959a,4.2,48999,6% off,14999
